 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         17727        6218664  [Ljava.lang.Object; (java.base@11.0.8)
   2:         42053        5752064  [B (java.base@11.0.8)
   3:          3781        4041224  [I (java.base@11.0.8)
   4:         56641        1359384  java.lang.String (java.base@11.0.8)
   5:          8635        1025592  java.lang.Class (java.base@11.0.8)
   6:           623         977864  [C (java.base@11.0.8)
   7:         21890         700480  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:           804         540288  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
   9:         11825         473000  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  10:          5236         460768  java.lang.reflect.Method (java.base@11.0.8)
  11:         11126         356032  java.util.HashMap$Node (java.base@11.0.8)
  12:          2144         343040  org.apache.activemq.artemis.protocol.amqp.broker.AMQPStandardMessage
  13:          5436         338984  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  14:         20186         322976  java.lang.Integer (java.base@11.0.8)
  15:          2870         293648  [J (java.base@11.0.8)
  16:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  17:          4827         270312  java.util.LinkedHashMap (java.base@11.0.8)
  18:         14641         234256  java.lang.Object (java.base@11.0.8)
  19:          6582         210624  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  20:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  21:           314         194656  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  22:          7034         177632  [Ljava.lang.Class; (java.base@11.0.8)
  23:          2144         154368  org.apache.activemq.artemis.core.server.impl.MessageReferenceImpl
  24:          1976         142272  io.netty.buffer.PoolSubpage
  25:          2144         137216  org.apache.qpid.proton.amqp.messaging.Properties
  26:          1727         124344  java.lang.reflect.Field (java.base@11.0.8)
  27:          2235         107280  java.lang.invoke.MemberName (java.base@11.0.8)
  28:          2171         104208  java.util.HashMap (java.base@11.0.8)
  29:          2145         102960  org.apache.qpid.proton.codec.CompositeReadableBuffer
  30:          4058          97392  java.util.ArrayList (java.base@11.0.8)
  31:          2242          89680  java.lang.ref.SoftReference (java.base@11.0.8)
  32:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  33:          1655          77920  [Ljava.lang.String; (java.base@11.0.8)
  34:          2419          77408  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  35:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  36:          2144          68608  org.apache.qpid.proton.amqp.messaging.Header
  37:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  38:          1402          56080  java.lang.invoke.MethodType (java.base@11.0.8)
  39:           871          55744  java.lang.Class$ReflectionData (java.base@11.0.8)
  40:           715          54016  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  41:           658          52640  java.lang.reflect.Constructor (java.base@11.0.8)
  42:          2162          51888  org.apache.activemq.artemis.core.journal.impl.JournalRecord
  43:          2154          51696  org.apache.activemq.artemis.core.journal.impl.ObjIntIntArrayList
  44:          2150          51600  java.util.Date (java.base@11.0.8)
  45:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  46:           745          47680  java.nio.DirectByteBuffer (java.base@11.0.8)
  47:          1417          45344  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
